institution,fiscal_year,study_level,credential,headcount
Algoma,2012-2013,Undergraduate,Certificate,11
Algoma,2012-2013,Undergraduate,Degree (includes applied degree),1084
Algoma,2012-2013,Undergraduate,Not Applicable,13
Algoma,2013-2014,Undergraduate,Degree (includes applied degree),1200
Algoma,2013-2014,Undergraduate,Not Applicable,17
Algoma,2014-2015,Undergraduate,Degree (includes applied degree),1173
Algoma,2014-2015,Undergraduate,Not Applicable,11
Algoma,2015-2016,Undergraduate,Degree (includes applied degree),1052
Algoma,2015-2016,Undergraduate,Not Applicable,24
Algoma,2016-2017,Undergraduate,Degree (includes applied degree),982
Algoma,2016-2017,Undergraduate,Not Applicable,15
Algoma,2017-2018,Undergraduate,Degree (includes applied degree),872
Algoma,2017-2018,Undergraduate,Not Applicable,20
Algoma,2018-2019,Undergraduate,Certificate,91
Algoma,2018-2019,Undergraduate,Degree (includes applied degree),850
Algoma,2018-2019,Undergraduate,Not Applicable,13
Algoma,2019-2020,Undergraduate,Certificate,565
Algoma,2019-2020,Undergraduate,Degree (includes applied degree),1030
Algoma,2019-2020,Undergraduate,Not Applicable,16
Algoma,2020-2021,Undergraduate,Certificate,230
Algoma,2020-2021,Undergraduate,Degree (includes applied degree),1178
Algoma,2021-2022,Undergraduate,Certificate,1041
Algoma,2021-2022,Undergraduate,Degree (includes applied degree),1396
Algoma,2022-2023,Undergraduate,Certificate,1586
Algoma,2022-2023,Undergraduate,Degree (includes applied degree),1713
Algoma,2022-2023,Undergraduate,Diploma,0
Algoma,2023-2024,Undergraduate,Certificate,3303
Algoma,2023-2024,Undergraduate,Degree (includes applied degree),3201
Algoma,2023-2024,Undergraduate,Not Applicable,11
Brock,2012-2013,Undergraduate,Certificate,132
Brock,2012-2013,Undergraduate,Degree (includes applied degree),14504
Brock,2012-2013,Undergraduate,Not Applicable,38
Brock,2012-2013,Graduate,Degree (includes applied degree),1174
Brock,2013-2014,Undergraduate,Certificate,131
Brock,2013-2014,Undergraduate,Degree (includes applied degree),14635
Brock,2013-2014,Undergraduate,Not Applicable,86
Brock,2013-2014,Graduate,Degree (includes applied degree),1292
Brock,2014-2015,Undergraduate,Certificate,128
Brock,2014-2015,Undergraduate,Degree (includes applied degree),14727
Brock,2014-2015,Undergraduate,Not Applicable,56
Brock,2014-2015,Graduate,Degree (includes applied degree),1248
Brock,2014-2015,Graduate,Not Applicable,11
Brock,2015-2016,Undergraduate,Certificate,87
Brock,2015-2016,Undergraduate,Degree (includes applied degree),14505
Brock,2015-2016,Undergraduate,Not Applicable,61
Brock,2015-2016,Graduate,Degree (includes applied degree),1258
Brock,2016-2017,Undergraduate,Certificate,127
Brock,2016-2017,Undergraduate,Degree (includes applied degree),14653
Brock,2016-2017,Undergraduate,Not Applicable,58
Brock,2016-2017,Graduate,Degree (includes applied degree),1324
Brock,2016-2017,Graduate,Not Applicable,10
Brock,2017-2018,Undergraduate,Certificate,110
Brock,2017-2018,Undergraduate,Degree (includes applied degree),14605
Brock,2017-2018,Undergraduate,Not Applicable,51
Brock,2017-2018,Graduate,Degree (includes applied degree),1372
Brock,2018-2019,Undergraduate,Certificate,116
Brock,2018-2019,Undergraduate,Degree (includes applied degree),14768
Brock,2018-2019,Undergraduate,Not Applicable,38
Brock,2018-2019,Graduate,Degree (includes applied degree),1424
Brock,2018-2019,Graduate,Diploma,0
Brock,2018-2019,Graduate,Not Applicable,11
Brock,2019-2020,Undergraduate,Certificate,82
Brock,2019-2020,Undergraduate,Degree (includes applied degree),15349
Brock,2019-2020,Undergraduate,Not Applicable,38
Brock,2019-2020,Graduate,Degree (includes applied degree),1579
Brock,2019-2020,Graduate,Not Applicable,17
Brock,2020-2021,Undergraduate,Certificate,48
Brock,2020-2021,Undergraduate,Degree (includes applied degree),15199
Brock,2020-2021,Undergraduate,Not Applicable,16
Brock,2020-2021,Graduate,Degree (includes applied degree),1568
Brock,2021-2022,Undergraduate,Certificate,44
Brock,2021-2022,Undergraduate,Degree (includes applied degree),15100
Brock,2021-2022,Undergraduate,Not Applicable,15
Brock,2021-2022,Graduate,Degree (includes applied degree),1529
Brock,2021-2022,Graduate,Diploma,0
Brock,2022-2023,Undergraduate,Certificate,33
Brock,2022-2023,Undergraduate,Degree (includes applied degree),15157
Brock,2022-2023,Undergraduate,Not Applicable,37
Brock,2022-2023,Graduate,Degree (includes applied degree),1479
Brock,2023-2024,Undergraduate,Certificate,45
Brock,2023-2024,Undergraduate,Degree (includes applied degree),15036
Brock,2023-2024,Undergraduate,Not Applicable,26
Brock,2023-2024,Graduate,Degree (includes applied degree),1522
Carleton,2012-2013,Undergraduate,Degree (includes applied degree),19052
Carleton,2012-2013,Undergraduate,Other type of credential associated with a program,404
Carleton,2012-2013,Graduate,Degree (includes applied degree),2936
Carleton,2012-2013,Graduate,Other type of credential associated with a program,44
Carleton,2013-2014,Undergraduate,Degree (includes applied degree),19621
Carleton,2013-2014,Undergraduate,Other type of credential associated with a program,413
Carleton,2013-2014,Graduate,Degree (includes applied degree),3043
Carleton,2013-2014,Graduate,Other type of credential associated with a program,37
Carleton,2014-2015,Undergraduate,Degree (includes applied degree),19983
Carleton,2014-2015,Undergraduate,Other type of credential associated with a program,416
Carleton,2014-2015,Graduate,Degree (includes applied degree),3128
Carleton,2014-2015,Graduate,Other type of credential associated with a program,29
Carleton,2015-2016,Undergraduate,Degree (includes applied degree),20183
Carleton,2015-2016,Undergraduate,Other type of credential associated with a program,417
Carleton,2015-2016,Graduate,Degree (includes applied degree),3341
Carleton,2015-2016,Graduate,Other type of credential associated with a program,18
Carleton,2016-2017,Undergraduate,Degree (includes applied degree),20593
Carleton,2016-2017,Undergraduate,Other type of credential associated with a program,382
Carleton,2016-2017,Graduate,Degree (includes applied degree),3464
Carleton,2016-2017,Graduate,Other type of credential associated with a program,21
Carleton,2017-2018,Undergraduate,Degree (includes applied degree),21293
Carleton,2017-2018,Undergraduate,Other type of credential associated with a program,411
Carleton,2017-2018,Graduate,Degree (includes applied degree),3556
Carleton,2017-2018,Graduate,Other type of credential associated with a program,31
Carleton,2018-2019,Undergraduate,Degree (includes applied degree),21380
Carleton,2018-2019,Undergraduate,Other type of credential associated with a program,373
Carleton,2018-2019,Graduate,Degree (includes applied degree),3453
Carleton,2018-2019,Graduate,Other type of credential associated with a program,34
Carleton,2019-2020,Undergraduate,Degree (includes applied degree),21434
Carleton,2019-2020,Undergraduate,Other type of credential associated with a program,372
Carleton,2019-2020,Graduate,Degree (includes applied degree),3600
Carleton,2019-2020,Graduate,Other type of credential associated with a program,39
Carleton,2020-2021,Undergraduate,Degree (includes applied degree),20995
Carleton,2020-2021,Undergraduate,Other type of credential associated with a program,230
Carleton,2020-2021,Graduate,Degree (includes applied degree),3808
Carleton,2020-2021,Graduate,Other type of credential associated with a program,37
Carleton,2021-2022,Undergraduate,Degree (includes applied degree),20324
Carleton,2021-2022,Undergraduate,Other type of credential associated with a program,237
Carleton,2021-2022,Graduate,Degree (includes applied degree),3831
Carleton,2021-2022,Graduate,Other type of credential associated with a program,41
Carleton,2022-2023,Undergraduate,Degree (includes applied degree),19622
Carleton,2022-2023,Undergraduate,Other type of credential associated with a program,300
Carleton,2022-2023,Graduate,Degree (includes applied degree),3771
Carleton,2022-2023,Graduate,Other type of credential associated with a program,33
Carleton,2023-2024,Undergraduate,Degree (includes applied degree),19684
Carleton,2023-2024,Undergraduate,Other type of credential associated with a program,371
Carleton,2023-2024,Graduate,Degree (includes applied degree),3885
Carleton,2023-2024,Graduate,Other type of credential associated with a program,35
Dominican,2012-2013,Undergraduate,Degree (includes applied degree),37
Dominican,2012-2013,Undergraduate,Other type of credential associated with a program,15
Dominican,2012-2013,Graduate,Degree (includes applied degree),50
Guelph,2012-2013,Undergraduate,Degree (includes applied degree),21787
Guelph,2012-2013,Undergraduate,Diploma,640
Guelph,2012-2013,Undergraduate,Not Applicable,61
Guelph,2012-2013,Undergraduate,Other type of credential associated with a program,19
Guelph,2012-2013,Graduate,Degree (includes applied degree),2404
Guelph,2013-2014,Undergraduate,Degree (includes applied degree),21879
Guelph,2013-2014,Undergraduate,Diploma,676
Guelph,2013-2014,Undergraduate,Not Applicable,134
Guelph,2013-2014,Undergraduate,Other type of credential associated with a program,17
Guelph,2013-2014,Graduate,Degree (includes applied degree),2325
Guelph,2013-2014,Graduate,Diploma,10
Guelph,2014-2015,Undergraduate,Certificate,0
Guelph,2014-2015,Undergraduate,Degree (includes applied degree),22120
Guelph,2014-2015,Undergraduate,Diploma,653
Guelph,2014-2015,Undergraduate,Not Applicable,160
Guelph,2014-2015,Undergraduate,Other type of credential associated with a program,10
Guelph,2014-2015,Graduate,Degree (includes applied degree),2286
Guelph,2015-2016,Undergraduate,Degree (includes applied degree),23008
Guelph,2015-2016,Undergraduate,Diploma,574
Guelph,2015-2016,Undergraduate,Not Applicable,107
Guelph,2015-2016,Undergraduate,Other type of credential associated with a program,16
Guelph,2015-2016,Graduate,Degree (includes applied degree),2291
Guelph,2016-2017,Undergraduate,Degree (includes applied degree),23589
Guelph,2016-2017,Undergraduate,Diploma,593
Guelph,2016-2017,Undergraduate,Not Applicable,76
Guelph,2016-2017,Undergraduate,Other type of credential associated with a program,19
Guelph,2016-2017,Graduate,Degree (includes applied degree),2482
Guelph,2016-2017,Graduate,Not Applicable,0
Guelph,2017-2018,Undergraduate,Degree (includes applied degree),23507
Guelph,2017-2018,Undergraduate,Diploma,618
Guelph,2017-2018,Undergraduate,Not Applicable,61
Guelph,2017-2018,Undergraduate,Other type of credential associated with a program,14
Guelph,2017-2018,Graduate,Degree (includes applied degree),2615
Guelph,2018-2019,Undergraduate,Degree (includes applied degree),23397
Guelph,2018-2019,Undergraduate,Diploma,635
Guelph,2018-2019,Undergraduate,Not Applicable,72
Guelph,2018-2019,Undergraduate,Other type of credential associated with a program,13
Guelph,2018-2019,Graduate,Degree (includes applied degree),2678
Guelph,2019-2020,Undergraduate,Degree (includes applied degree),23799
Guelph,2019-2020,Undergraduate,Diploma,589
Guelph,2019-2020,Undergraduate,Not Applicable,59
Guelph,2019-2020,Undergraduate,Other type of credential associated with a program,14
Guelph,2019-2020,Graduate,Degree (includes applied degree),2827
Guelph,2020-2021,Undergraduate,Degree (includes applied degree),23470
Guelph,2020-2021,Undergraduate,Diploma,454
Guelph,2020-2021,Undergraduate,Not Applicable,55
Guelph,2020-2021,Undergraduate,Other type of credential associated with a program,19
Guelph,2020-2021,Graduate,Degree (includes applied degree),2832
Guelph,2021-2022,Undergraduate,Degree (includes applied degree),22774
Guelph,2021-2022,Undergraduate,Diploma,443
Guelph,2021-2022,Undergraduate,Not Applicable,68
Guelph,2021-2022,Undergraduate,Other type of credential associated with a program,15
Guelph,2021-2022,Graduate,Degree (includes applied degree),2907
Guelph,2022-2023,Undergraduate,Degree (includes applied degree),24115
Guelph,2022-2023,Undergraduate,Diploma,553
Guelph,2022-2023,Undergraduate,Not Applicable,35
Guelph,2022-2023,Undergraduate,Other type of credential associated with a program,11
Guelph,2022-2023,Graduate,Degree (includes applied degree),2852
Guelph,2022-2023,Graduate,Diploma,0
Guelph,2023-2024,Undergraduate,Certificate,38
Guelph,2023-2024,Undergraduate,Degree (includes applied degree),24620
Guelph,2023-2024,Undergraduate,Diploma,599
Guelph,2023-2024,Undergraduate,Not Applicable,50
Guelph,2023-2024,Graduate,Degree (includes applied degree),2825
Guelph,2023-2024,Graduate,Diploma,0
Hearst,2012-2013,Undergraduate,Degree (includes applied degree),68
Hearst,2013-2014,Undergraduate,Degree (includes applied degree),67
Hearst,2014-2015,Undergraduate,Degree (includes applied degree),72
Hearst,2015-2016,Undergraduate,Degree (includes applied degree),103
Hearst,2016-2017,Undergraduate,Degree (includes applied degree),103
Hearst,2017-2018,Undergraduate,Degree (includes applied degree),125
Hearst,2018-2019,Undergraduate,Degree (includes applied degree),141
Hearst,2019-2020,Undergraduate,Degree (includes applied degree),199
Hearst,2020-2021,Undergraduate,Degree (includes applied degree),161
Hearst,2021-2022,Undergraduate,Degree (includes applied degree),210
Hearst,2022-2023,Undergraduate,Degree (includes applied degree),217
Hearst,2022-2023,Graduate,Diploma,10
Hearst,2023-2024,Undergraduate,Degree (includes applied degree),310
Hearst,2023-2024,Graduate,Diploma,10
Lakehead,2012-2013,Undergraduate,Degree (includes applied degree),6331
Lakehead,2012-2013,Undergraduate,Not Applicable,17
Lakehead,2012-2013,Graduate,Degree (includes applied degree),752
Lakehead,2013-2014,Undergraduate,Degree (includes applied degree),6203
Lakehead,2013-2014,Undergraduate,Not Applicable,101
Lakehead,2013-2014,Graduate,Degree (includes applied degree),797
Lakehead,2014-2015,Undergraduate,Degree (includes applied degree),6134
Lakehead,2014-2015,Undergraduate,Not Applicable,101
Lakehead,2014-2015,Graduate,Degree (includes applied degree),782
Lakehead,2014-2015,Graduate,Not Applicable,13
Lakehead,2015-2016,Undergraduate,Degree (includes applied degree),5678
Lakehead,2015-2016,Undergraduate,Not Applicable,47
Lakehead,2015-2016,Graduate,Degree (includes applied degree),871
Lakehead,2015-2016,Graduate,Not Applicable,20
Lakehead,2016-2017,Undergraduate,Degree (includes applied degree),5871
Lakehead,2016-2017,Undergraduate,Not Applicable,52
Lakehead,2016-2017,Graduate,Degree (includes applied degree),1024
Lakehead,2016-2017,Graduate,Diploma,19
Lakehead,2017-2018,Undergraduate,Degree (includes applied degree),5664
Lakehead,2017-2018,Undergraduate,Not Applicable,36
Lakehead,2017-2018,Graduate,Degree (includes applied degree),1192
Lakehead,2017-2018,Graduate,Diploma,23
Lakehead,2018-2019,Undergraduate,Degree (includes applied degree),5793
Lakehead,2018-2019,Undergraduate,Not Applicable,54
Lakehead,2018-2019,Graduate,Degree (includes applied degree),1268
Lakehead,2018-2019,Graduate,Diploma,33
Lakehead,2018-2019,Graduate,Not Applicable,0
Lakehead,2019-2020,Undergraduate,Degree (includes applied degree),5800
Lakehead,2019-2020,Undergraduate,Not Applicable,60
Lakehead,2019-2020,Graduate,Degree (includes applied degree),1415
Lakehead,2019-2020,Graduate,Diploma,30
Lakehead,2020-2021,Undergraduate,Degree (includes applied degree),5736
Lakehead,2020-2021,Undergraduate,Not Applicable,20
Lakehead,2020-2021,Graduate,Degree (includes applied degree),1280
Lakehead,2020-2021,Graduate,Diploma,26
Lakehead,2021-2022,Undergraduate,Degree (includes applied degree),5637
Lakehead,2021-2022,Undergraduate,Not Applicable,24
Lakehead,2021-2022,Graduate,Degree (includes applied degree),1409
Lakehead,2021-2022,Graduate,Diploma,19
Lakehead,2021-2022,Graduate,Not Applicable,0
Lakehead,2022-2023,Undergraduate,Degree (includes applied degree),5563
Lakehead,2022-2023,Undergraduate,Not Applicable,24
Lakehead,2022-2023,Graduate,Degree (includes applied degree),1451
Lakehead,2022-2023,Graduate,Diploma,11
Lakehead,2023-2024,Undergraduate,Degree (includes applied degree),5615
Lakehead,2023-2024,Undergraduate,Not Applicable,60
Lakehead,2023-2024,Graduate,Degree (includes applied degree),1731
Lakehead,2023-2024,Graduate,Diploma,14
Laurentian,2012-2013,Undergraduate,Degree (includes applied degree),6242
Laurentian,2012-2013,Undergraduate,Not Applicable,32
Laurentian,2012-2013,Graduate,Degree (includes applied degree),393
Laurentian,2012-2013,Graduate,Diploma,10
Laurentian,2013-2014,Undergraduate,Degree (includes applied degree),6260
Laurentian,2013-2014,Undergraduate,Not Applicable,30
Laurentian,2013-2014,Graduate,Degree (includes applied degree),449
Laurentian,2013-2014,Graduate,Diploma,13
Laurentian,2014-2015,Undergraduate,Degree (includes applied degree),6304
Laurentian,2014-2015,Undergraduate,Not Applicable,28
Laurentian,2014-2015,Graduate,Degree (includes applied degree),465
Laurentian,2014-2015,Graduate,Diploma,11
Laurentian,2015-2016,Undergraduate,Degree (includes applied degree),6579
Laurentian,2015-2016,Undergraduate,Not Applicable,42
Laurentian,2015-2016,Graduate,Degree (includes applied degree),497
Laurentian,2015-2016,Graduate,Diploma,10
Laurentian,2016-2017,Undergraduate,Degree (includes applied degree),6482
Laurentian,2016-2017,Undergraduate,Not Applicable,38
Laurentian,2016-2017,Graduate,Degree (includes applied degree),494
Laurentian,2016-2017,Graduate,Diploma,12
Laurentian,2017-2018,Undergraduate,Degree (includes applied degree),6301
Laurentian,2017-2018,Undergraduate,Not Applicable,24
Laurentian,2017-2018,Graduate,Degree (includes applied degree),491
Laurentian,2018-2019,Undergraduate,Degree (includes applied degree),6126
Laurentian,2018-2019,Undergraduate,Not Applicable,30
Laurentian,2018-2019,Graduate,Degree (includes applied degree),570
Laurentian,2019-2020,Undergraduate,Degree (includes applied degree),6166
Laurentian,2019-2020,Undergraduate,Not Applicable,30
Laurentian,2019-2020,Graduate,Degree (includes applied degree),645
Laurentian,2019-2020,Graduate,Diploma,0
Laurentian,2020-2021,Undergraduate,Degree (includes applied degree),6309
Laurentian,2020-2021,Undergraduate,Not Applicable,17
Laurentian,2020-2021,Graduate,Degree (includes applied degree),714
Laurentian,2021-2022,Undergraduate,Degree (includes applied degree),5324
Laurentian,2021-2022,Undergraduate,Not Applicable,11
Laurentian,2021-2022,Graduate,Degree (includes applied degree),640
Laurentian,2022-2023,Undergraduate,Degree (includes applied degree),4862
Laurentian,2022-2023,Undergraduate,Not Applicable,11
Laurentian,2022-2023,Graduate,Degree (includes applied degree),753
Laurentian,2023-2024,Undergraduate,Degree (includes applied degree),4722
Laurentian,2023-2024,Graduate,Degree (includes applied degree),1516
McMaster,2012-2013,Undergraduate,Degree (includes applied degree),21270
McMaster,2012-2013,Undergraduate,Not Applicable,979
McMaster,2012-2013,Graduate,Degree (includes applied degree),3529
McMaster,2012-2013,Graduate,Diploma,15
McMaster,2013-2014,Undergraduate,Degree (includes applied degree),21589
McMaster,2013-2014,Undergraduate,Not Applicable,1023
McMaster,2013-2014,Graduate,Degree (includes applied degree),3509
McMaster,2013-2014,Graduate,Diploma,13
McMaster,2014-2015,Undergraduate,Degree (includes applied degree),21802
McMaster,2014-2015,Undergraduate,Not Applicable,1058
McMaster,2014-2015,Graduate,Degree (includes applied degree),3610
McMaster,2014-2015,Graduate,Diploma,13
McMaster,2015-2016,Undergraduate,Certificate,0
McMaster,2015-2016,Undergraduate,Degree (includes applied degree),23659
McMaster,2015-2016,Undergraduate,Not Applicable,1135
McMaster,2015-2016,Graduate,Certificate,17
McMaster,2015-2016,Graduate,Degree (includes applied degree),3597
McMaster,2016-2017,Undergraduate,Degree (includes applied degree),24778
McMaster,2016-2017,Undergraduate,Not Applicable,1228
McMaster,2016-2017,Graduate,Certificate,63
McMaster,2016-2017,Graduate,Degree (includes applied degree),3748
McMaster,2017-2018,Undergraduate,Degree (includes applied degree),25354
McMaster,2017-2018,Undergraduate,Not Applicable,1278
McMaster,2017-2018,Graduate,Certificate,75
McMaster,2017-2018,Graduate,Degree (includes applied degree),3833
McMaster,2018-2019,Undergraduate,Degree (includes applied degree),26371
McMaster,2018-2019,Undergraduate,Not Applicable,1341
McMaster,2018-2019,Graduate,Certificate,100
McMaster,2018-2019,Graduate,Degree (includes applied degree),4076
McMaster,2019-2020,Undergraduate,Degree (includes applied degree),27480
McMaster,2019-2020,Undergraduate,Not Applicable,1351
McMaster,2019-2020,Graduate,Certificate,96
McMaster,2019-2020,Graduate,Degree (includes applied degree),4273
McMaster,2020-2021,Undergraduate,Certificate,0
McMaster,2020-2021,Undergraduate,Degree (includes applied degree),29397
McMaster,2020-2021,Undergraduate,Not Applicable,1163
McMaster,2020-2021,Graduate,Certificate,22
McMaster,2020-2021,Graduate,Degree (includes applied degree),4189
McMaster,2021-2022,Undergraduate,Degree (includes applied degree),29967
McMaster,2021-2022,Undergraduate,Not Applicable,1200
McMaster,2021-2022,Graduate,Certificate,26
McMaster,2021-2022,Graduate,Degree (includes applied degree),4449
McMaster,2022-2023,Undergraduate,Degree (includes applied degree),30048
McMaster,2022-2023,Undergraduate,Not Applicable,1327
