institution,fiscal_year,study_level,credential,headcount
Toronto,2017-2018,Undergraduate,Degree (includes applied degree),61055
Toronto,2017-2018,Undergraduate,Not Applicable,3843
Toronto,2017-2018,Graduate,Degree (includes applied degree),16985
Toronto,2017-2018,Graduate,Diploma,0
Toronto,2017-2018,Graduate,Not Applicable,72
Toronto,2018-2019,Undergraduate,Certificate,61
Toronto,2018-2019,Undergraduate,Degree (includes applied degree),61704
Toronto,2018-2019,Undergraduate,Not Applicable,3948
Toronto,2018-2019,Graduate,Degree (includes applied degree),17769
Toronto,2018-2019,Graduate,Diploma,0
Toronto,2018-2019,Graduate,Not Applicable,65
Toronto,2019-2020,Undergraduate,Certificate,35
Toronto,2019-2020,Undergraduate,Degree (includes applied degree),62656
Toronto,2019-2020,Undergraduate,Diploma,10
Toronto,2019-2020,Undergraduate,Not Applicable,3934
Toronto,2019-2020,Graduate,Degree (includes applied degree),18605
Toronto,2019-2020,Graduate,Diploma,0
Toronto,2019-2020,Graduate,Not Applicable,75
Toronto,2020-2021,Undergraduate,Certificate,12
Toronto,2020-2021,Undergraduate,Degree (includes applied degree),64586
Toronto,2020-2021,Undergraduate,Not Applicable,3397
Toronto,2020-2021,Graduate,Degree (includes applied degree),19039
Toronto,2020-2021,Graduate,Diploma,0
Toronto,2020-2021,Graduate,Not Applicable,16
Toronto,2021-2022,Undergraduate,Certificate,18
Toronto,2021-2022,Undergraduate,Degree (includes applied degree),65210
Toronto,2021-2022,Undergraduate,Not Applicable,3692
Toronto,2021-2022,Graduate,Degree (includes applied degree),19756
Toronto,2021-2022,Graduate,Diploma,0
Toronto,2021-2022,Graduate,Not Applicable,66
Toronto,2022-2023,Undergraduate,Certificate,12
Toronto,2022-2023,Undergraduate,Degree (includes applied degree),65525
Toronto,2022-2023,Undergraduate,Not Applicable,4125
Toronto,2022-2023,Graduate,Degree (includes applied degree),19947
Toronto,2022-2023,Graduate,Diploma,0
Toronto,2022-2023,Graduate,Not Applicable,69
Toronto,2023-2024,Undergraduate,Certificate,11
Toronto,2023-2024,Undergraduate,Degree (includes applied degree),67810
Toronto,2023-2024,Undergraduate,Not Applicable,4121
Toronto,2023-2024,Graduate,Degree (includes applied degree),19869
Toronto,2023-2024,Graduate,Diploma,0
Toronto,2023-2024,Graduate,Not Applicable,61
Trent,2012-2013,Undergraduate,Degree (includes applied degree),6345
Trent,2012-2013,Undergraduate,Diploma,18
Trent,2012-2013,Undergraduate,Not Applicable,46
Trent,2012-2013,Graduate,Degree (includes applied degree),415
Trent,2013-2014,Undergraduate,Degree (includes applied degree),6426
Trent,2013-2014,Undergraduate,Diploma,16
Trent,2013-2014,Undergraduate,Not Applicable,56
Trent,2013-2014,Graduate,Degree (includes applied degree),417
Trent,2014-2015,Undergraduate,Degree (includes applied degree),6461
Trent,2014-2015,Undergraduate,Diploma,20
Trent,2014-2015,Undergraduate,Not Applicable,59
Trent,2014-2015,Graduate,Degree (includes applied degree),379
Trent,2015-2016,Undergraduate,Degree (includes applied degree),6650
Trent,2015-2016,Undergraduate,Diploma,38
Trent,2015-2016,Undergraduate,Not Applicable,13
Trent,2015-2016,Graduate,Degree (includes applied degree),372
Trent,2016-2017,Undergraduate,Certificate,25
Trent,2016-2017,Undergraduate,Degree (includes applied degree),7189
Trent,2016-2017,Undergraduate,Diploma,19
Trent,2016-2017,Undergraduate,Not Applicable,48
Trent,2016-2017,Graduate,Degree (includes applied degree),359
Trent,2017-2018,Undergraduate,Certificate,16
Trent,2017-2018,Undergraduate,Degree (includes applied degree),7652
Trent,2017-2018,Undergraduate,Diploma,13
Trent,2017-2018,Undergraduate,Not Applicable,52
Trent,2017-2018,Graduate,Degree (includes applied degree),418
Trent,2018-2019,Undergraduate,Certificate,34
Trent,2018-2019,Undergraduate,Degree (includes applied degree),8119
Trent,2018-2019,Undergraduate,Diploma,16
Trent,2018-2019,Undergraduate,Not Applicable,54
Trent,2018-2019,Graduate,Degree (includes applied degree),496
Trent,2019-2020,Undergraduate,Certificate,55
Trent,2019-2020,Undergraduate,Degree (includes applied degree),8783
Trent,2019-2020,Undergraduate,Diploma,10
Trent,2019-2020,Undergraduate,Not Applicable,55
Trent,2019-2020,Graduate,Degree (includes applied degree),530
Trent,2020-2021,Undergraduate,Certificate,18
Trent,2020-2021,Undergraduate,Degree (includes applied degree),9104
Trent,2020-2021,Undergraduate,Diploma,10
Trent,2020-2021,Undergraduate,Not Applicable,20
Trent,2020-2021,Graduate,Degree (includes applied degree),545
Trent,2021-2022,Undergraduate,Certificate,42
Trent,2021-2022,Undergraduate,Degree (includes applied degree),9395
Trent,2021-2022,Undergraduate,Not Applicable,43
Trent,2021-2022,Graduate,Degree (includes applied degree),630
Trent,2022-2023,Undergraduate,Certificate,170
Trent,2022-2023,Undergraduate,Degree (includes applied degree),9763
Trent,2022-2023,Undergraduate,Diploma,10
Trent,2022-2023,Undergraduate,Not Applicable,39
Trent,2022-2023,Graduate,Degree (includes applied degree),675
Trent,2023-2024,Undergraduate,Certificate,736
Trent,2023-2024,Undergraduate,Degree (includes applied degree),10086
Trent,2023-2024,Undergraduate,Not Applicable,54
Trent,2023-2024,Graduate,Degree (includes applied degree),1040
UOF,2021-2022,Undergraduate,Degree (includes applied degree),27
UOF,2022-2023,Undergraduate,Certificate,0
UOF,2022-2023,Undergraduate,Degree (includes applied degree),98
UOF,2023-2024,Undergraduate,Degree (includes applied degree),196
Waterloo,2012-2013,Undergraduate,Degree (includes applied degree),27791
Waterloo,2012-2013,Undergraduate,Not Applicable,554
Waterloo,2012-2013,Graduate,Degree (includes applied degree),3820
Waterloo,2012-2013,Graduate,Not Applicable,18
Waterloo,2013-2014,Undergraduate,Degree (includes applied degree),28604
Waterloo,2013-2014,Undergraduate,Not Applicable,500
Waterloo,2013-2014,Graduate,Degree (includes applied degree),3940
Waterloo,2013-2014,Graduate,Not Applicable,20
Waterloo,2014-2015,Undergraduate,Degree (includes applied degree),29004
Waterloo,2014-2015,Undergraduate,Not Applicable,552
Waterloo,2014-2015,Graduate,Degree (includes applied degree),3945
Waterloo,2014-2015,Graduate,Not Applicable,17
Waterloo,2015-2016,Undergraduate,Degree (includes applied degree),29406
Waterloo,2015-2016,Undergraduate,Not Applicable,506
Waterloo,2015-2016,Graduate,Degree (includes applied degree),4034
Waterloo,2015-2016,Graduate,Not Applicable,14
Waterloo,2016-2017,Undergraduate,Degree (includes applied degree),30342
Waterloo,2016-2017,Undergraduate,Not Applicable,566
Waterloo,2016-2017,Graduate,Degree (includes applied degree),4185
Waterloo,2016-2017,Graduate,Not Applicable,24
Waterloo,2017-2018,Undergraduate,Degree (includes applied degree),31229
Waterloo,2017-2018,Undergraduate,Not Applicable,545
Waterloo,2017-2018,Graduate,Degree (includes applied degree),4482
Waterloo,2017-2018,Graduate,Not Applicable,23
Waterloo,2018-2019,Undergraduate,Degree (includes applied degree),31993
Waterloo,2018-2019,Undergraduate,Not Applicable,523
Waterloo,2018-2019,Graduate,Degree (includes applied degree),4550
Waterloo,2018-2019,Graduate,Not Applicable,20
Waterloo,2019-2020,Undergraduate,Degree (includes applied degree),32657
Waterloo,2019-2020,Undergraduate,Not Applicable,541
Waterloo,2019-2020,Graduate,Degree (includes applied degree),4719
Waterloo,2019-2020,Graduate,Not Applicable,19
Waterloo,2020-2021,Undergraduate,Degree (includes applied degree),34016
Waterloo,2020-2021,Undergraduate,Not Applicable,202
Waterloo,2020-2021,Graduate,Degree (includes applied degree),4713
Waterloo,2020-2021,Graduate,Diploma,0
Waterloo,2021-2022,Undergraduate,Degree (includes applied degree),34118
Waterloo,2021-2022,Undergraduate,Diploma,0
Waterloo,2021-2022,Undergraduate,Not Applicable,390
Waterloo,2021-2022,Graduate,Degree (includes applied degree),4942
Waterloo,2021-2022,Graduate,Not Applicable,14
Waterloo,2022-2023,Undergraduate,Degree (includes applied degree),33955
Waterloo,2022-2023,Undergraduate,Not Applicable,444
Waterloo,2022-2023,Graduate,Degree (includes applied degree),4624
Waterloo,2022-2023,Graduate,Diploma,0
Waterloo,2022-2023,Graduate,Not Applicable,17
Waterloo,2023-2024,Undergraduate,Degree (includes applied degree),33972
Waterloo,2023-2024,Undergraduate,Not Applicable,487
Waterloo,2023-2024,Graduate,Degree (includes applied degree),4534
Waterloo,2023-2024,Graduate,Diploma,0
Waterloo,2023-2024,Graduate,Not Applicable,20
Western,2012-2013,Undergraduate,Degree (includes applied degree),27520
Western,2012-2013,Undergraduate,Diploma,47
Western,2012-2013,Undergraduate,Not Applicable,1078
Western,2012-2013,Graduate,Degree (includes applied degree),4841
Western,2013-2014,Undergraduate,Degree (includes applied degree),27824
Western,2013-2014,Undergraduate,Diploma,32
Western,2013-2014,Undergraduate,Not Applicable,1090
Western,2013-2014,Graduate,Degree (includes applied degree),5064
Western,2014-2015,Undergraduate,Degree (includes applied degree),27907
Western,2014-2015,Undergraduate,Diploma,60
Western,2014-2015,Undergraduate,Not Applicable,1187
Western,2014-2015,Graduate,Degree (includes applied degree),5283
Western,2015-2016,Undergraduate,Degree (includes applied degree),27702
Western,2015-2016,Undergraduate,Diploma,35
Western,2015-2016,Undergraduate,Not Applicable,1124
Western,2015-2016,Graduate,Degree (includes applied degree),5433
Western,2016-2017,Undergraduate,Degree (includes applied degree),28513
Western,2016-2017,Undergraduate,Diploma,35
Western,2016-2017,Undergraduate,Not Applicable,1135
Western,2016-2017,Graduate,Degree (includes applied degree),5605
Western,2016-2017,Graduate,Diploma,0
Western,2017-2018,Undergraduate,Degree (includes applied degree),28625
Western,2017-2018,Undergraduate,Diploma,29
Western,2017-2018,Undergraduate,Not Applicable,1149
Western,2017-2018,Graduate,Degree (includes applied degree),6028
Western,2017-2018,Graduate,Diploma,0
Western,2018-2019,Undergraduate,Degree (includes applied degree),29104
Western,2018-2019,Undergraduate,Diploma,29
Western,2018-2019,Undergraduate,Not Applicable,1236
Western,2018-2019,Graduate,Degree (includes applied degree),6007
Western,2018-2019,Graduate,Diploma,0
Western,2019-2020,Undergraduate,Certificate,0
Western,2019-2020,Undergraduate,Degree (includes applied degree),29697
Western,2019-2020,Undergraduate,Diploma,77
Western,2019-2020,Undergraduate,Not Applicable,1183
Western,2019-2020,Graduate,Degree (includes applied degree),6275
Western,2020-2021,Undergraduate,Degree (includes applied degree),30982
Western,2020-2021,Undergraduate,Diploma,45
Western,2020-2021,Undergraduate,Not Applicable,1105
Western,2020-2021,Graduate,Degree (includes applied degree),6205
Western,2021-2022,Undergraduate,Degree (includes applied degree),31957
Western,2021-2022,Undergraduate,Diploma,44
Western,2021-2022,Undergraduate,Not Applicable,1115
Western,2021-2022,Graduate,Degree (includes applied degree),6812
Western,2022-2023,Undergraduate,Degree (includes applied degree),32931
Western,2022-2023,Undergraduate,Diploma,34
Western,2022-2023,Undergraduate,Not Applicable,1110
Western,2022-2023,Graduate,Degree (includes applied degree),6741
Western,2022-2023,Graduate,Diploma,11
Western,2023-2024,Undergraduate,Degree (includes applied degree),33994
Western,2023-2024,Undergraduate,Diploma,64
Western,2023-2024,Undergraduate,Not Applicable,1137
Western,2023-2024,Graduate,Degree (includes applied degree),6940
Western,2023-2024,Graduate,Diploma,13
Wilfrid Laurier,2012-2013,Undergraduate,Degree (includes applied degree),15063
Wilfrid Laurier,2012-2013,Undergraduate,Diploma,17
Wilfrid Laurier,2012-2013,Undergraduate,Not Applicable,192
Wilfrid Laurier,2012-2013,Graduate,Degree (includes applied degree),921
Wilfrid Laurier,2012-2013,Graduate,Not Applicable,10
Wilfrid Laurier,2013-2014,Undergraduate,Degree (includes applied degree),15334
Wilfrid Laurier,2013-2014,Undergraduate,Diploma,15
Wilfrid Laurier,2013-2014,Undergraduate,Not Applicable,167
Wilfrid Laurier,2013-2014,Graduate,Degree (includes applied degree),967
Wilfrid Laurier,2013-2014,Graduate,Not Applicable,12
Wilfrid Laurier,2014-2015,Undergraduate,Degree (includes applied degree),14898
Wilfrid Laurier,2014-2015,Undergraduate,Not Applicable,189
Wilfrid Laurier,2014-2015,Graduate,Degree (includes applied degree),945
Wilfrid Laurier,2015-2016,Undergraduate,Degree (includes applied degree),14538
Wilfrid Laurier,2015-2016,Undergraduate,Not Applicable,294
Wilfrid Laurier,2015-2016,Graduate,Degree (includes applied degree),980
Wilfrid Laurier,2015-2016,Graduate,Not Applicable,10
Wilfrid Laurier,2016-2017,Undergraduate,Degree (includes applied degree),14619
Wilfrid Laurier,2016-2017,Undergraduate,Not Applicable,245
Wilfrid Laurier,2016-2017,Graduate,Degree (includes applied degree),961
Wilfrid Laurier,2016-2017,Graduate,Not Applicable,17
Wilfrid Laurier,2017-2018,Undergraduate,Degree (includes applied degree),15101
Wilfrid Laurier,2017-2018,Undergraduate,Not Applicable,135
Wilfrid Laurier,2017-2018,Graduate,Degree (includes applied degree),1017
Wilfrid Laurier,2017-2018,Graduate,Diploma,144
Wilfrid Laurier,2018-2019,Undergraduate,Degree (includes applied degree),15114
Wilfrid Laurier,2018-2019,Undergraduate,Not Applicable,126
Wilfrid Laurier,2018-2019,Graduate,Degree (includes applied degree),1061
Wilfrid Laurier,2018-2019,Graduate,Diploma,144
Wilfrid Laurier,2018-2019,Graduate,Not Applicable,10
Wilfrid Laurier,2019-2020,Undergraduate,Degree (includes applied degree),15529
Wilfrid Laurier,2019-2020,Undergraduate,Not Applicable,104
Wilfrid Laurier,2019-2020,Graduate,Degree (includes applied degree),1017
Wilfrid Laurier,2019-2020,Graduate,Diploma,124
Wilfrid Laurier,2019-2020,Graduate,Not Applicable,22
Wilfrid Laurier,2020-2021,Undergraduate,Degree (includes applied degree),15856
Wilfrid Laurier,2020-2021,Undergraduate,Not Applicable,25
Wilfrid Laurier,2020-2021,Graduate,Degree (includes applied degree),1042
Wilfrid Laurier,2020-2021,Graduate,Diploma,133
Wilfrid Laurier,2020-2021,Graduate,Not Applicable,0
Wilfrid Laurier,2021-2022,Undergraduate,Degree (includes applied degree),16453
Wilfrid Laurier,2021-2022,Undergraduate,Not Applicable,80
Wilfrid Laurier,2021-2022,Graduate,Degree (includes applied degree),1081
Wilfrid Laurier,2021-2022,Graduate,Diploma,122
Wilfrid Laurier,2021-2022,Graduate,Not Applicable,0
Wilfrid Laurier,2022-2023,Undergraduate,Degree (includes applied degree),16568
Wilfrid Laurier,2022-2023,Undergraduate,Not Applicable,110
Wilfrid Laurier,2022-2023,Graduate,Degree (includes applied degree),1027
Wilfrid Laurier,2022-2023,Graduate,Diploma,80
Wilfrid Laurier,2022-2023,Graduate,Not Applicable,20
Wilfrid Laurier,2023-2024,Undergraduate,Degree (includes applied degree),16725
Wilfrid Laurier,2023-2024,Undergraduate,Not Applicable,118
Wilfrid Laurier,2023-2024,Graduate,Degree (includes applied degree),1161
Wilfrid Laurier,2023-2024,Graduate,Diploma,75
Windsor,2012-2013,Undergraduate,Certificate,29
Windsor,2012-2013,Undergraduate,Degree (includes applied degree),11693
Windsor,2012-2013,Undergraduate,Not Applicable,82
Windsor,2012-2013,Graduate,Degree (includes applied degree),1905
Windsor,2013-2014,Undergraduate,Certificate,31
Windsor,2013-2014,Undergraduate,Degree (includes applied degree),11703
Windsor,2013-2014,Undergraduate,Not Applicable,68
Windsor,2013-2014,Graduate,Degree (includes applied degree),2298
Windsor,2013-2014,Graduate,Not Applicable,0
Windsor,2014-2015,Undergraduate,Certificate,34
Windsor,2014-2015,Undergraduate,Degree (includes applied degree),11461
Windsor,2014-2015,Undergraduate,Not Applicable,94
Windsor,2014-2015,Graduate,Degree (includes applied degree),2431
Windsor,2015-2016,Undergraduate,Certificate,23
Windsor,2015-2016,Undergraduate,Degree (includes applied degree),10766
Windsor,2015-2016,Undergraduate,Not Applicable,93
Windsor,2015-2016,Graduate,Degree (includes applied degree),2672
Windsor,2015-2016,Graduate,Not Applicable,0
Windsor,2016-2017,Undergraduate,Certificate,18
Windsor,2016-2017,Undergraduate,Degree (includes applied degree),10464
Windsor,2016-2017,Undergraduate,Not Applicable,83
Windsor,2016-2017,Graduate,Degree (includes applied degree),3041
Windsor,2017-2018,Undergraduate,Certificate,15
Windsor,2017-2018,Undergraduate,Degree (includes applied degree),10456
Windsor,2017-2018,Undergraduate,Not Applicable,71
Windsor,2017-2018,Graduate,Degree (includes applied degree),3535
Windsor,2018-2019,Undergraduate,Certificate,18
Windsor,2018-2019,Undergraduate,Degree (includes applied degree),10474
Windsor,2018-2019,Undergraduate,Diploma,0
Windsor,2018-2019,Undergraduate,Not Applicable,80
Windsor,2018-2019,Graduate,Degree (includes applied degree),3932
Windsor,2018-2019,Graduate,Not Applicable,0
Windsor,2019-2020,Undergraduate,Certificate,20
Windsor,2019-2020,Undergraduate,Degree (includes applied degree),10600
Windsor,2019-2020,Undergraduate,Diploma,22
Windsor,2019-2020,Undergraduate,Not Applicable,74
Windsor,2019-2020,Graduate,Degree (includes applied degree),4047
Windsor,2020-2021,Undergraduate,Certificate,16
Windsor,2020-2021,Undergraduate,Degree (includes applied degree),10699
Windsor,2020-2021,Undergraduate,Diploma,28
Windsor,2020-2021,Undergraduate,Not Applicable,29
Windsor,2020-2021,Graduate,Degree (includes applied degree),4295
Windsor,2021-2022,Undergraduate,Certificate,14
Windsor,2021-2022,Undergraduate,Degree (includes applied degree),10516
Windsor,2021-2022,Undergraduate,Not Applicable,58
Windsor,2021-2022,Graduate,Degree (includes applied degree),4920
Windsor,2021-2022,Graduate,Not Applicable,0
Windsor,2022-2023,Undergraduate,Degree (includes applied degree),10136
Windsor,2022-2023,Undergraduate,Not Applicable,50
Windsor,2022-2023,Graduate,Degree (includes applied degree),5746
Windsor,2023-2024,Undergraduate,Certificate,11
Windsor,2023-2024,Undergraduate,Degree (includes applied degree),10425
Windsor,2023-2024,Undergraduate,Not Applicable,57
Windsor,2023-2024,Graduate,Degree (includes applied degree),5856
York,2012-2013,Undergraduate,Certificate,153
York,2012-2013,Undergraduate,Degree (includes applied degree),40637
York,2012-2013,Undergraduate,Not Applicable,457
York,2012-2013,Graduate,Degree (includes applied degree),3855
York,2012-2013,Graduate,Not Applicable,61
York,2013-2014,Undergraduate,Certificate,163
York,2013-2014,Undergraduate,Degree (includes applied degree),40288
York,2013-2014,Undergraduate,Not Applicable,453
York,2013-2014,Graduate,Degree (includes applied degree),3860
York,2013-2014,Graduate,Not Applicable,74
York,2014-2015,Undergraduate,Certificate,146
York,2014-2015,Undergraduate,Degree (includes applied degree),39039
York,2014-2015,Undergraduate,Not Applicable,511
York,2014-2015,Graduate,Degree (includes applied degree),3968
York,2014-2015,Graduate,Not Applicable,67
York,2015-2016,Undergraduate,Certificate,145
York,2015-2016,Undergraduate,Degree (includes applied degree),39051
York,2015-2016,Undergraduate,Not Applicable,408
York,2015-2016,Graduate,Degree (includes applied degree),4009
York,2015-2016,Graduate,Diploma,0
York,2015-2016,Graduate,Not Applicable,67
York,2016-2017,Undergraduate,Certificate,94
York,2016-2017,Undergraduate,Degree (includes applied degree),39171
York,2016-2017,Undergraduate,Not Applicable,373
York,2016-2017,Graduate,Degree (includes applied degree),4023
York,2016-2017,Graduate,Diploma,21
York,2016-2017,Graduate,Not Applicable,57
York,2017-2018,Undergraduate,Certificate,86
York,2017-2018,Undergraduate,Degree (includes applied degree),40789
York,2017-2018,Undergraduate,Not Applicable,345
York,2017-2018,Graduate,Degree (includes applied degree),4151
York,2017-2018,Graduate,Diploma,17
York,2017-2018,Graduate,Not Applicable,69
York,2018-2019,Undergraduate,Certificate,73
York,2018-2019,Undergraduate,Degree (includes applied degree),42548
York,2018-2019,Undergraduate,Not Applicable,355
York,2018-2019,Graduate,Degree (includes applied degree),4372
York,2018-2019,Graduate,Diploma,18
York,2018-2019,Graduate,Not Applicable,31
York,2019-2020,Undergraduate,Certificate,118
York,2019-2020,Undergraduate,Degree (includes applied degree),42588
York,2019-2020,Undergraduate,Not Applicable,335
York,2019-2020,Graduate,Degree (includes applied degree),4425
York,2019-2020,Graduate,Diploma,30
York,2019-2020,Graduate,Not Applicable,44
York,2020-2021,Undergraduate,Certificate,42
York,2020-2021,Undergraduate,Degree (includes applied degree),42694
York,2020-2021,Undergraduate,Not Applicable,114
York,2020-2021,Graduate,Degree (includes applied degree),4551
York,2020-2021,Graduate,Diploma,47
York,2021-2022,Undergraduate,Certificate,40
York,2021-2022,Undergraduate,Degree (includes applied degree),41486
York,2021-2022,Undergraduate,Not Applicable,141
York,2021-2022,Graduate,Degree (includes applied degree),4625
York,2021-2022,Graduate,Diploma,35
York,2022-2023,Undergraduate,Certificate,28
York,2022-2023,Undergraduate,Degree (includes applied degree),39901
York,2022-2023,Undergraduate,Not Applicable,327
York,2022-2023,Graduate,Degree (includes applied degree),4533
York,2022-2023,Graduate,Diploma,18
York,2022-2023,Graduate,Not Applicable,31
York,2023-2024,Undergraduate,Certificate,33
York,2023-2024,Undergraduate,Degree (includes applied degree),40733
York,2023-2024,Undergraduate,Not Applicable,282
York,2023-2024,Graduate,Degree (includes applied degree),4603
York,2023-2024,Graduate,Diploma,48
York,2023-2024,Graduate,Not Applicable,31
