institution,fiscal_year,study_level,gender,headcount
Toronto,2016-2017,Undergraduate,Male,28503
Toronto,2016-2017,Undergraduate,N/A or Another,26
Toronto,2016-2017,Graduate,Female,9056
Toronto,2016-2017,Graduate,Male,7521
Toronto,2016-2017,Graduate,N/A or Another,29
Toronto,2017-2018,Undergraduate,Female,36187
Toronto,2017-2018,Undergraduate,Male,28397
Toronto,2017-2018,Undergraduate,N/A or Another,363
Toronto,2017-2018,Graduate,Female,9452
Toronto,2017-2018,Graduate,Male,7560
Toronto,2017-2018,Graduate,N/A or Another,45
Toronto,2018-2019,Undergraduate,Female,36658
Toronto,2018-2019,Undergraduate,Male,28357
Toronto,2018-2019,Undergraduate,N/A or Another,705
Toronto,2018-2019,Graduate,Female,9922
Toronto,2018-2019,Graduate,Male,7828
Toronto,2018-2019,Graduate,N/A or Another,84
Toronto,2019-2020,Undergraduate,Female,36831
Toronto,2019-2020,Undergraduate,Male,28775
Toronto,2019-2020,Undergraduate,N/A or Another,1029
Toronto,2019-2020,Graduate,Female,10586
Toronto,2019-2020,Graduate,Male,7944
Toronto,2019-2020,Graduate,N/A or Another,150
Toronto,2020-2021,Undergraduate,Female,37399
Toronto,2020-2021,Undergraduate,Male,29224
Toronto,2020-2021,Undergraduate,N/A or Another,1379
Toronto,2020-2021,Graduate,Female,10974
Toronto,2020-2021,Graduate,Male,7913
Toronto,2020-2021,Graduate,N/A or Another,168
Toronto,2021-2022,Undergraduate,Female,37695
Toronto,2021-2022,Undergraduate,Male,29581
Toronto,2021-2022,Undergraduate,N/A or Another,1649
Toronto,2021-2022,Graduate,Female,11466
Toronto,2021-2022,Graduate,Male,8160
Toronto,2021-2022,Graduate,N/A or Another,196
Toronto,2022-2023,Undergraduate,Female,37942
Toronto,2022-2023,Undergraduate,Male,29831
Toronto,2022-2023,Undergraduate,N/A or Another,1895
Toronto,2022-2023,Graduate,Female,11683
Toronto,2022-2023,Graduate,Male,8120
Toronto,2022-2023,Graduate,N/A or Another,213
Toronto,2023-2024,Undergraduate,Female,38853
Toronto,2023-2024,Undergraduate,Male,31096
Toronto,2023-2024,Undergraduate,N/A or Another,2001
Toronto,2023-2024,Graduate,Female,11708
Toronto,2023-2024,Graduate,Male,7984
Toronto,2023-2024,Graduate,N/A or Another,238
Trent,2012-2013,Undergraduate,Female,4174
Trent,2012-2013,Undergraduate,Male,2235
Trent,2012-2013,Graduate,Female,245
Trent,2012-2013,Graduate,Male,170
Trent,2013-2014,Undergraduate,Female,4284
Trent,2013-2014,Undergraduate,Male,2214
Trent,2013-2014,Graduate,Female,248
Trent,2013-2014,Graduate,Male,169
Trent,2014-2015,Undergraduate,Female,4347
Trent,2014-2015,Undergraduate,Male,2193
Trent,2014-2015,Graduate,Female,237
Trent,2014-2015,Graduate,Male,142
Trent,2015-2016,Undergraduate,Female,4423
Trent,2015-2016,Undergraduate,Male,2278
Trent,2015-2016,Graduate,Female,235
Trent,2015-2016,Graduate,Male,137
Trent,2016-2017,Undergraduate,Female,4894
Trent,2016-2017,Undergraduate,Male,2384
Trent,2016-2017,Graduate,Female,228
Trent,2016-2017,Graduate,Male,131
Trent,2017-2018,Undergraduate,Female,5187
Trent,2017-2018,Undergraduate,Male,2484
Trent,2017-2018,Undergraduate,N/A or Another,62
Trent,2017-2018,Graduate,Female,246
Trent,2017-2018,Graduate,Male,171
Trent,2018-2019,Undergraduate,Female,5505
Trent,2018-2019,Undergraduate,Male,2583
Trent,2018-2019,Undergraduate,N/A or Another,135
Trent,2018-2019,Graduate,Female,295
Trent,2018-2019,Graduate,Male,193
Trent,2019-2020,Undergraduate,Female,5913
Trent,2019-2020,Undergraduate,Male,2816
Trent,2019-2020,Undergraduate,N/A or Another,174
Trent,2019-2020,Graduate,Female,308
Trent,2019-2020,Graduate,Male,209
Trent,2019-2020,Graduate,N/A or Another,16
Trent,2020-2021,Undergraduate,Female,6022
Trent,2020-2021,Undergraduate,Male,2920
Trent,2020-2021,Undergraduate,N/A or Another,210
Trent,2020-2021,Graduate,Female,338
Trent,2020-2021,Graduate,Male,192
Trent,2020-2021,Graduate,N/A or Another,16
Trent,2021-2022,Undergraduate,Female,6243
Trent,2021-2022,Undergraduate,Male,3049
Trent,2021-2022,Undergraduate,N/A or Another,194
Trent,2021-2022,Graduate,Female,340
Trent,2021-2022,Graduate,Male,268
Trent,2021-2022,Graduate,N/A or Another,23
Trent,2022-2023,Undergraduate,Female,6513
Trent,2022-2023,Undergraduate,Male,3221
Trent,2022-2023,Undergraduate,N/A or Another,248
Trent,2022-2023,Graduate,Female,381
Trent,2022-2023,Graduate,Male,270
Trent,2022-2023,Graduate,N/A or Another,26
Trent,2023-2024,Undergraduate,Female,6954
Trent,2023-2024,Undergraduate,Male,3594
Trent,2023-2024,Undergraduate,N/A or Another,336
Trent,2023-2024,Graduate,Female,506
Trent,2023-2024,Graduate,Male,509
Trent,2023-2024,Graduate,N/A or Another,27
UOF,2021-2022,Undergraduate,Female,14
UOF,2021-2022,Undergraduate,Male,13
UOF,2022-2023,Undergraduate,Female,43
UOF,2022-2023,Undergraduate,Male,55
UOF,2022-2023,Undergraduate,N/A or Another,0
UOF,2023-2024,Undergraduate,Female,107
UOF,2023-2024,Undergraduate,Male,86
Waterloo,2012-2013,Undergraduate,Female,12409
Waterloo,2012-2013,Undergraduate,Male,15940
Waterloo,2012-2013,Graduate,Female,1435
Waterloo,2012-2013,Graduate,Male,2403
Waterloo,2013-2014,Undergraduate,Female,12863
Waterloo,2013-2014,Undergraduate,Male,16243
Waterloo,2013-2014,Graduate,Female,1551
Waterloo,2013-2014,Graduate,Male,2409
Waterloo,2014-2015,Undergraduate,Female,13215
Waterloo,2014-2015,Undergraduate,Male,16345
Waterloo,2014-2015,Graduate,Female,1580
Waterloo,2014-2015,Graduate,Male,2383
Waterloo,2015-2016,Undergraduate,Female,13647
Waterloo,2015-2016,Undergraduate,Male,16267
Waterloo,2015-2016,Graduate,Female,1628
Waterloo,2015-2016,Graduate,Male,2420
Waterloo,2016-2017,Undergraduate,Female,14314
Waterloo,2016-2017,Undergraduate,Male,16596
Waterloo,2016-2017,Undergraduate,N/A or Another,0
Waterloo,2016-2017,Graduate,Female,1752
Waterloo,2016-2017,Graduate,Male,2457
Waterloo,2017-2018,Undergraduate,Female,14919
Waterloo,2017-2018,Undergraduate,Male,16831
Waterloo,2017-2018,Undergraduate,N/A or Another,29
Waterloo,2017-2018,Graduate,Female,1848
Waterloo,2017-2018,Graduate,Male,2650
Waterloo,2018-2019,Undergraduate,Female,15433
Waterloo,2018-2019,Undergraduate,Male,16936
Waterloo,2018-2019,Undergraduate,N/A or Another,149
Waterloo,2018-2019,Graduate,Female,1877
Waterloo,2018-2019,Graduate,Male,2627
Waterloo,2018-2019,Graduate,N/A or Another,66
Waterloo,2019-2020,Undergraduate,Female,15769
Waterloo,2019-2020,Undergraduate,Male,17160
Waterloo,2019-2020,Undergraduate,N/A or Another,273
Waterloo,2019-2020,Graduate,Female,1910
Waterloo,2019-2020,Graduate,Male,2646
Waterloo,2019-2020,Graduate,N/A or Another,183
Waterloo,2020-2021,Undergraduate,Female,16024
Waterloo,2020-2021,Undergraduate,Male,17833
Waterloo,2020-2021,Undergraduate,N/A or Another,367
Waterloo,2020-2021,Graduate,Female,1970
Waterloo,2020-2021,Graduate,Male,2498
Waterloo,2020-2021,Graduate,N/A or Another,248
Waterloo,2021-2022,Undergraduate,Female,16166
Waterloo,2021-2022,Undergraduate,Male,17903
Waterloo,2021-2022,Undergraduate,N/A or Another,439
Waterloo,2021-2022,Graduate,Female,2038
Waterloo,2021-2022,Graduate,Male,2608
Waterloo,2021-2022,Graduate,N/A or Another,310
Waterloo,2022-2023,Undergraduate,Female,16092
Waterloo,2022-2023,Undergraduate,Male,17889
Waterloo,2022-2023,Undergraduate,N/A or Another,419
Waterloo,2022-2023,Graduate,Female,1996
Waterloo,2022-2023,Graduate,Male,2437
Waterloo,2022-2023,Graduate,N/A or Another,208
Waterloo,2023-2024,Undergraduate,Female,16208
Waterloo,2023-2024,Undergraduate,Male,17762
Waterloo,2023-2024,Undergraduate,N/A or Another,491
Waterloo,2023-2024,Graduate,Female,1927
Waterloo,2023-2024,Graduate,Male,2495
Waterloo,2023-2024,Graduate,N/A or Another,132
Western,2012-2013,Undergraduate,Female,15917
Western,2012-2013,Undergraduate,Male,12728
Western,2012-2013,Undergraduate,N/A or Another,0
Western,2012-2013,Graduate,Female,2482
Western,2012-2013,Graduate,Male,2359
Western,2013-2014,Undergraduate,Female,16177
Western,2013-2014,Undergraduate,Male,12770
Western,2013-2014,Graduate,Female,2627
Western,2013-2014,Graduate,Male,2438
Western,2013-2014,Graduate,N/A or Another,0
Western,2014-2015,Undergraduate,Female,16282
Western,2014-2015,Undergraduate,Male,12873
Western,2014-2015,Undergraduate,N/A or Another,0
Western,2014-2015,Graduate,Female,2821
Western,2014-2015,Graduate,Male,2467
Western,2014-2015,Graduate,N/A or Another,0
Western,2015-2016,Undergraduate,Female,16224
Western,2015-2016,Undergraduate,Male,12637
Western,2015-2016,Graduate,Female,2908
Western,2015-2016,Graduate,Male,2528
Western,2016-2017,Undergraduate,Female,16885
Western,2016-2017,Undergraduate,Male,12798
Western,2016-2017,Graduate,Female,3033
Western,2016-2017,Graduate,Male,2572
Western,2017-2018,Undergraduate,Female,17079
Western,2017-2018,Undergraduate,Male,12718
Western,2017-2018,Graduate,Female,3324
Western,2017-2018,Graduate,Male,2704
Western,2018-2019,Undergraduate,Female,17417
Western,2018-2019,Undergraduate,Male,12942
Western,2018-2019,Undergraduate,N/A or Another,10
Western,2018-2019,Graduate,Female,3443
Western,2018-2019,Graduate,Male,2563
Western,2019-2020,Undergraduate,Female,17870
Western,2019-2020,Undergraduate,Male,13073
Western,2019-2020,Undergraduate,N/A or Another,14
Western,2019-2020,Graduate,Female,3595
Western,2019-2020,Graduate,Male,2677
Western,2020-2021,Undergraduate,Female,18514
Western,2020-2021,Undergraduate,Male,13495
Western,2020-2021,Undergraduate,N/A or Another,123
Western,2020-2021,Graduate,Female,3641
Western,2020-2021,Graduate,Male,2546
Western,2020-2021,Graduate,N/A or Another,25
Western,2021-2022,Undergraduate,Female,18918
Western,2021-2022,Undergraduate,Male,13864
Western,2021-2022,Undergraduate,N/A or Another,334
Western,2021-2022,Graduate,Female,3959
Western,2021-2022,Graduate,Male,2791
Western,2021-2022,Graduate,N/A or Another,63
Western,2022-2023,Undergraduate,Female,19039
Western,2022-2023,Undergraduate,Male,14525
Western,2022-2023,Undergraduate,N/A or Another,511
Western,2022-2023,Graduate,Female,3889
Western,2022-2023,Graduate,Male,2777
Western,2022-2023,Graduate,N/A or Another,86
Western,2023-2024,Undergraduate,Female,19326
Western,2023-2024,Undergraduate,Male,15193
Western,2023-2024,Undergraduate,N/A or Another,676
Western,2023-2024,Graduate,Female,4049
Western,2023-2024,Graduate,Male,2801
Western,2023-2024,Graduate,N/A or Another,103
Wilfrid Laurier,2012-2013,Undergraduate,Female,8858
Wilfrid Laurier,2012-2013,Undergraduate,Male,6414
Wilfrid Laurier,2012-2013,Graduate,Female,578
Wilfrid Laurier,2012-2013,Graduate,Male,353
Wilfrid Laurier,2013-2014,Undergraduate,Female,8920
Wilfrid Laurier,2013-2014,Undergraduate,Male,6596
Wilfrid Laurier,2013-2014,Graduate,Female,602
Wilfrid Laurier,2013-2014,Graduate,Male,377
Wilfrid Laurier,2014-2015,Undergraduate,Female,8609
Wilfrid Laurier,2014-2015,Undergraduate,Male,6486
Wilfrid Laurier,2014-2015,Graduate,Female,595
Wilfrid Laurier,2014-2015,Graduate,Male,355
Wilfrid Laurier,2015-2016,Undergraduate,Female,8363
Wilfrid Laurier,2015-2016,Undergraduate,Male,6476
Wilfrid Laurier,2015-2016,Graduate,Female,639
Wilfrid Laurier,2015-2016,Graduate,Male,351
Wilfrid Laurier,2016-2017,Undergraduate,Female,8474
Wilfrid Laurier,2016-2017,Undergraduate,Male,6399
Wilfrid Laurier,2016-2017,Graduate,Female,650
Wilfrid Laurier,2016-2017,Graduate,Male,328
Wilfrid Laurier,2017-2018,Undergraduate,Female,8613
Wilfrid Laurier,2017-2018,Undergraduate,Male,6631
Wilfrid Laurier,2017-2018,Graduate,Female,733
Wilfrid Laurier,2017-2018,Graduate,Male,437
Wilfrid Laurier,2018-2019,Undergraduate,Female,8591
Wilfrid Laurier,2018-2019,Undergraduate,Male,6653
Wilfrid Laurier,2018-2019,Graduate,Female,767
Wilfrid Laurier,2018-2019,Graduate,Male,448
Wilfrid Laurier,2019-2020,Undergraduate,Female,8779
Wilfrid Laurier,2019-2020,Undergraduate,Male,6860
Wilfrid Laurier,2019-2020,Graduate,Female,710
Wilfrid Laurier,2019-2020,Graduate,Male,453
Wilfrid Laurier,2020-2021,Undergraduate,Female,8777
Wilfrid Laurier,2020-2021,Undergraduate,Male,7106
Wilfrid Laurier,2020-2021,Graduate,Female,724
Wilfrid Laurier,2020-2021,Graduate,Male,451
Wilfrid Laurier,2021-2022,Undergraduate,Female,8921
Wilfrid Laurier,2021-2022,Undergraduate,Male,7618
Wilfrid Laurier,2021-2022,Graduate,Female,768
Wilfrid Laurier,2021-2022,Graduate,Male,432
Wilfrid Laurier,2022-2023,Undergraduate,Female,8829
Wilfrid Laurier,2022-2023,Undergraduate,Male,7751
Wilfrid Laurier,2022-2023,Undergraduate,N/A or Another,103
Wilfrid Laurier,2022-2023,Graduate,Female,714
Wilfrid Laurier,2022-2023,Graduate,Male,396
Wilfrid Laurier,2022-2023,Graduate,N/A or Another,17
Wilfrid Laurier,2023-2024,Undergraduate,Female,8831
Wilfrid Laurier,2023-2024,Undergraduate,Male,7867
Wilfrid Laurier,2023-2024,Undergraduate,N/A or Another,151
Wilfrid Laurier,2023-2024,Graduate,Female,757
Wilfrid Laurier,2023-2024,Graduate,Male,459
Wilfrid Laurier,2023-2024,Graduate,N/A or Another,21
Windsor,2012-2013,Undergraduate,Female,6353
Windsor,2012-2013,Undergraduate,Male,5451
Windsor,2012-2013,Graduate,Female,962
Windsor,2012-2013,Graduate,Male,944
Windsor,2013-2014,Undergraduate,Female,6323
Windsor,2013-2014,Undergraduate,Male,5479
Windsor,2013-2014,Graduate,Female,1121
Windsor,2013-2014,Graduate,Male,1180
Windsor,2014-2015,Undergraduate,Female,6186
Windsor,2014-2015,Undergraduate,Male,5403
Windsor,2014-2015,Graduate,Female,1206
Windsor,2014-2015,Graduate,Male,1233
Windsor,2015-2016,Undergraduate,Female,5794
Windsor,2015-2016,Undergraduate,Male,5088
Windsor,2015-2016,Graduate,Female,1336
Windsor,2015-2016,Graduate,Male,1342
Windsor,2016-2017,Undergraduate,Female,5609
Windsor,2016-2017,Undergraduate,Male,4950
Windsor,2016-2017,Graduate,Female,1459
Windsor,2016-2017,Graduate,Male,1585
Windsor,2017-2018,Undergraduate,Female,5643
Windsor,2017-2018,Undergraduate,Male,4783
Windsor,2017-2018,Undergraduate,N/A or Another,116
Windsor,2017-2018,Graduate,Female,1508
Windsor,2017-2018,Graduate,Male,1958
Windsor,2017-2018,Graduate,N/A or Another,70
Windsor,2018-2019,Undergraduate,Female,5674
Windsor,2018-2019,Undergraduate,Male,4673
Windsor,2018-2019,Undergraduate,N/A or Another,225
Windsor,2018-2019,Graduate,Female,1570
Windsor,2018-2019,Graduate,Male,2219
Windsor,2018-2019,Graduate,N/A or Another,145
Windsor,2019-2020,Undergraduate,Female,5788
Windsor,2019-2020,Undergraduate,Male,4592
Windsor,2019-2020,Undergraduate,N/A or Another,336
Windsor,2019-2020,Graduate,Female,1691
Windsor,2019-2020,Graduate,Male,2211
Windsor,2019-2020,Graduate,N/A or Another,151
Windsor,2020-2021,Undergraduate,Female,5863
Windsor,2020-2021,Undergraduate,Male,4545
Windsor,2020-2021,Undergraduate,N/A or Another,364
Windsor,2020-2021,Graduate,Female,1759
Windsor,2020-2021,Graduate,Male,2472
Windsor,2020-2021,Graduate,N/A or Another,73
Windsor,2021-2022,Undergraduate,Female,5855
Windsor,2021-2022,Undergraduate,Male,4382
Windsor,2021-2022,Undergraduate,N/A or Another,354
Windsor,2021-2022,Graduate,Female,2033
Windsor,2021-2022,Graduate,Male,2861
Windsor,2021-2022,Graduate,N/A or Another,31
Windsor,2022-2023,Undergraduate,Female,5695
Windsor,2022-2023,Undergraduate,Male,4203
Windsor,2022-2023,Undergraduate,N/A or Another,298
Windsor,2022-2023,Graduate,Female,2215
Windsor,2022-2023,Graduate,Male,3521
Windsor,2022-2023,Graduate,N/A or Another,19
Windsor,2023-2024,Undergraduate,Female,5767
Windsor,2023-2024,Undergraduate,Male,4409
Windsor,2023-2024,Undergraduate,N/A or Another,322
Windsor,2023-2024,Graduate,Female,2263
Windsor,2023-2024,Graduate,Male,3574
Windsor,2023-2024,Graduate,N/A or Another,31
York,2012-2013,Undergraduate,Female,24361
York,2012-2013,Undergraduate,Male,16886
York,2012-2013,Graduate,Female,2194
York,2012-2013,Graduate,Male,1723
York,2013-2014,Undergraduate,Female,23942
York,2013-2014,Undergraduate,Male,16957
York,2013-2014,Graduate,Female,2201
York,2013-2014,Graduate,Male,1733
York,2014-2015,Undergraduate,Female,23244
York,2014-2015,Undergraduate,Male,16451
York,2014-2015,Graduate,Female,2241
York,2014-2015,Graduate,Male,1795
York,2015-2016,Undergraduate,Female,22941
York,2015-2016,Undergraduate,Male,16662
York,2015-2016,Graduate,Female,2297
York,2015-2016,Graduate,Male,1778
York,2016-2017,Undergraduate,Female,22822
York,2016-2017,Undergraduate,Male,16797
York,2016-2017,Undergraduate,N/A or Another,19
York,2016-2017,Graduate,Female,2332
York,2016-2017,Graduate,Male,1768
York,2017-2018,Undergraduate,Female,23573
York,2017-2018,Undergraduate,Male,17461
York,2017-2018,Undergraduate,N/A or Another,186
York,2017-2018,Graduate,Female,2381
York,2017-2018,Graduate,Male,1850
York,2018-2019,Undergraduate,Female,24238
York,2018-2019,Undergraduate,Male,18279
York,2018-2019,Undergraduate,N/A or Another,459
York,2018-2019,Graduate,Female,2508
York,2018-2019,Graduate,Male,1892
York,2018-2019,Graduate,N/A or Another,21
York,2019-2020,Undergraduate,Female,23846
York,2019-2020,Undergraduate,Male,18609
York,2019-2020,Undergraduate,N/A or Another,586
York,2019-2020,Graduate,Female,2511
York,2019-2020,Graduate,Male,1957
York,2019-2020,Graduate,N/A or Another,31
York,2020-2021,Undergraduate,Female,23652
York,2020-2021,Undergraduate,Male,18414
York,2020-2021,Undergraduate,N/A or Another,784
York,2020-2021,Graduate,Female,2572
York,2020-2021,Graduate,Male,1991
York,2020-2021,Graduate,N/A or Another,39
York,2021-2022,Undergraduate,Female,22675
York,2021-2022,Undergraduate,Male,18127
York,2021-2022,Undergraduate,N/A or Another,865
York,2021-2022,Graduate,Female,2612
York,2021-2022,Graduate,Male,1994
York,2021-2022,Graduate,N/A or Another,62
York,2022-2023,Undergraduate,Female,21901
York,2022-2023,Undergraduate,Male,17515
York,2022-2023,Undergraduate,N/A or Another,840
York,2022-2023,Graduate,Female,2603
York,2022-2023,Graduate,Male,1908
York,2022-2023,Graduate,N/A or Another,71
York,2023-2024,Undergraduate,Female,22300
York,2023-2024,Undergraduate,Male,17833
York,2023-2024,Undergraduate,N/A or Another,915
York,2023-2024,Graduate,Female,2641
York,2023-2024,Graduate,Male,1958
York,2023-2024,Graduate,N/A or Another,83
